year,scheme,title
2022,PKMK,Perancangan Penyedot Sekaligus Pembersih dan Mensterilkan Ruangan yang Ergonomis serta Menggunakan Pengendali dari Aplikasi Ponsel Pintar
2022,PKMRSH,"Pembentukan Impulsive Buying Konsumen pada UMKM melalui Flash Sale Countdown Timer, Live Streaming E-Commerce serta In Home Shopping Tendency"
2022,PKMRE,"Peningkatan Status Mutu Air Situ Gadog, Kelurahan Cisalak Pasar, Kecamatan Cimanggis, Depok dengan Modifikasi Teknik Aerasi"
2022,PKMPM,"MENANG PKM : Media Pengenalan Angka yang Pancasilais, Konstruktif, dan Menarik berbasis VBA Excel untuk siswa TK"
2022,PKMPM,Pendampingan Membuat BARBEQU (Pembelajaran Berbasis Quizziz) Sebagai Upaya Peningkatan Kompetensi IT Guru PAUD Di Ranting Cibabat Cimahi Utara
2022,PKMRE,Formulasi dan Uji aktivitas Antibakteri sediaan footspray anti bau kaki yang mengandung ekstrak teh hitam dan daun jambu biji
2022,PKMRSH,Pengembangan Sumber Daya Manusia Yang Berfokus Pada Kinerja Di Perusahaan Konsultan IT
2022,PKMRE,Pengembangan Strip Kertas Biosensor Berbasis Bioaktif Asam Tanat Ekstrak Kulit Melinjo untuk Deteksi Logam Berat Kadmium sebagai Upaya Kontrol Lingkungan
2022,PKMRE,PENENTUAN KELARUTAN KURKUMIN DALAM DELAPAN PELARUT ORGANIK GUNA PENGEMBANGAN SEDIAAN FARMASI BERBAHAN DASAR KURKUMIN MENGGUNAKAN SPEKTROFOTOMETRI VISIBLE DAN GRAVIMETRI
2022,PKMK,"""LINABE"" Lilin Aroma Bergamot (citrus bergamia) Sebagai Aromaterapi Relaksan untuk Meningkatkan Energi dan Suasana Hati"
2022,PKMPM,"Program LET ""Leadership Education Training"" sebagai kaderisasi generasi emas Indonesia bagi anak-anak paguyuban penyandang disabilitas bandung"
2022,PKMRE,Pengembangan Sediaan Buccal Film dengan Metode Nanopartikel Ekstrak Daun Iler Sebagai Penurun Gula Darah pada Mencit Putih Jantan
2022,PKMPM,Teman Masa Lanjut Usia dalam Meningkatkan Kualitas Hidup yang Sehat dan Produktif TUTI HERYANTI
2022,PKMRE,UJI EFEKTIVITAS FORMULASI SALEP EKSTRAK BROTOWALI (TINOSPORA CRISPA L.MIERS) DENGAN KOMBINASI ZEOLITE ALAM LAMPUNG UNTUK PENYEMBUHAN ULKUS DIABETIK
2022,PKMPM,Paper Soap and Resin Art Herbarium Souvenir sebagai Upaya Peningkatan Kemandirian Finansial pada Anggota FKDC kabupaten Cirebon
2022,PKMK,PAPELEM (Pakan Pelet Lemna sp. Ekonomis) Campuran Biji Ketapang Sebagai Penunjang Pertumbuhan Ikan Air Tawar
2022,PKMPM,CRABI PIDI : Craving Behavior Intevention dengan Perpaduan Ingame (Integrated Games) sebagai Upaya Kontrol Diri pada Remaja dengan Games Addiction
2022,PKMRSH,Pengaruh Pemberian Telenursing Motivational Interviewing Terhadap Kepatuhan Minum Obat Pada Pasien Yang Menjalani Hemodialisis di RSUD Kota Bandung 2022
2022,PKMRE,Optimalisasi Parameter Pengelasan TIG Menggunakan Material Mild Steel (SPCC-SD) Beda Ketebalan Material
2022,PKMRSH,Eksistensi Tradisi Ngabungbang Dalam Pembentukan Karakter Warga Negara di Kampung Salapan
2022,PKMRE,Pengaruh Biofertilizer Kipahit dan KNO3 terhadap Produktivitas dan Kualitas polong Edamame (Glycine max var Ryocho)
2022,PKMK,CARDICRAF (Care Digital for Congestive Heart Failure) sebagai Media Monitoring Self Care pada Pasien Congestive Heart Failure.
2022,PKMPI,Inovasi Penyaringan Ampas Kedelai Otomatis Untuk Meningkatkan Efisiensi dan Kualitas Dalam Produksi Tahu
2022,PKMRE,Cellular Automata dalam Menentukan Koefisien-koefisien Penyebaran COVID-19 dengan Model Visualisasi Spasial
2022,PKMRSH,Penggunaan Podcast sebagai Media Pembelajaran Bahasa Inggris bagi Penyandang Tunanetra
2022,PKMPM,Ekstraktor Ciri Statistik dan pengkalsifikasi cahaya berbasis arduino yun untuk pemantauan melon hidroponik rumah bibit yayasan gerakan peduli lingkungan pekayon
2022,PKMRSH,Peningkatan Pengetahuan Moral Siswa melalui Cerita Rakyat Daerah dalam Program “Diksi Ceria” (Diskusi Mengenai Cerita Rakyat Daerah)
2022,PKMVGK,Plasma Against Air Pollution Cleanup For Sustainable Smart Renewable Energy
